"","Rank","feature","Top50"
"355",88,0,0
"356",89,0,0
"357",90,0,0
"358",91,0,0
"359",92,0,0
"360",93,0,0
"361",94,0,0
"362",95,0,0
"363",96,0,0
"364",97,0,0
"365",98,0,0
"366",99,0,0
"367",100,0,0
"368",1,0,1
"369",2,0,1
"370",3,0,1
"371",4,0,1
"372",5,0,1
"373",6,0,1
"374",7,0,1
"375",8,0,1
"376",9,0,1
"377",10,0,1
"378",11,0,1
"379",12,0,1
"380",13,0,1
"381",14,0,1
"382",15,0,1
"383",16,0,1
"384",17,0,1
"385",18,0,1
"386",19,0,1
"387",21,0,1
"388",22,0,1
"389",23,0,1
"390",24,0,1
"391",25,0,1
"392",26,0,1
"393",27,0,1
"394",28,0,1
"395",29,0,1
"396",30,0,1
"397",31,0,1
"398",32,0,1
"399",33,0,1
"400",34,0,1
"401",35,0,1
"402",36,0,1
"403",38,0,1
"404",39,0,1
"405",40,0,1
"406",41,0,1
"407",42,0,1
"408",43,0,1
"409",44,0,1
"410",45,0,1
"411",46,0,1
"412",47,0,1
"413",48,0,1
"414",49,0,1
"415",50,0,1
"416",51,0,0
"417",52,0,0
"418",53,0,0
"419",54,0,0
"420",55,0,0
"421",56,0,0
"422",57,0,0
"423",58,0,0
"424",59,0,0
"425",60,0,0
"426",61,0,0
"427",62,0,0
"428",64,0,0
"429",65,0,0
"430",66,0,0
"431",67,0,0
"432",68,0,0
"433",70,0,0
"434",71,0,0
"435",72,0,0
"436",73,0,0
"437",74,0,0
"438",75,0,0
"439",76,0,0
"440",77,0,0
"441",79,0,0
"442",80,0,0
"443",82,0,0
"444",83,0,0
"445",84,0,0
"446",85,0,0
"447",86,0,0
"448",88,0,0
"449",89,0,0
"450",93,0,0
"451",94,0,0
"452",95,0,0
"453",96,0,0
"454",97,0,0
"455",98,0,0
"456",99,0,0
"457",100,0,0
"458",1,0,1
"459",2,0,1
"460",3,0,1
"461",4,0,1
"462",5,0,1
"463",6,0,1
"464",8,0,1
"465",9,0,1
"466",10,0,1
"467",11,0,1
"468",12,0,1
"469",13,0,1
"470",14,0,1
"471",15,0,1
"472",16,0,1
"473",17,0,1
"474",18,0,1
"475",19,0,1
"476",20,0,1
"477",21,0,1
"478",22,0,1
"479",23,0,1
"480",24,0,1
"481",26,0,1
"482",27,0,1
"483",28,0,1
"484",29,0,1
"485",30,0,1
"486",31,0,1
"487",32,0,1
"488",33,0,1
"489",34,0,1
"490",35,0,1
"491",36,0,1
"492",37,0,1
"493",39,0,1
"494",40,0,1
"495",41,0,1
"496",42,0,1
"497",43,0,1
"498",44,0,1
"499",45,0,1
"500",46,0,1
"501",47,0,1
"502",48,0,1
"503",49,0,1
"504",50,0,1
"505",51,0,0
"506",52,0,0
"507",53,0,0
"508",54,0,0
"509",55,0,0
"510",56,0,0
"511",57,0,0
"512",58,0,0
"513",59,0,0
"514",60,0,0
"515",61,0,0
"516",62,0,0
"517",63,0,0
"518",64,0,0
"519",65,0,0
"520",66,0,0
"521",67,0,0
"522",68,0,0
"523",69,0,0
"524",70,0,0
"525",71,0,0
"526",72,0,0
"527",73,0,0
"528",74,0,0
"529",75,0,0
"530",76,0,0
"531",77,0,0
"532",78,0,0
"533",79,0,0
"534",80,0,0
"535",81,0,0
"536",83,0,0
"537",85,0,0
"538",86,0,0
"539",87,0,0
"540",88,0,0
"541",89,0,0
"542",90,0,0
"543",91,0,0
"544",92,0,0
"545",93,0,0
"546",94,0,0
"547",95,0,0
"548",96,0,0
"549",97,0,0
"550",98,0,0
"551",99,0,0
"552",100,0,0
"553",1,0,1
"554",4,0,1
"555",5,0,1
"556",7,0,1
"557",8,0,1
"558",9,0,1
"559",10,0,1
"560",11,0,1
"561",12,0,1
"562",13,0,1
"563",14,0,1
"564",15,0,1
"565",16,0,1
"566",17,0,1
"567",18,0,1
"568",19,0,1
"569",20,0,1
"570",21,0,1
"571",22,0,1
"572",23,0,1
"573",24,0,1
"574",25,0,1
"575",28,0,1
"576",29,0,1
"577",30,0,1
"578",31,0,1
"579",32,0,1
"580",33,0,1
"581",35,0,1
"582",36,0,1
"583",37,0,1
"584",38,0,1
"585",39,0,1
"586",40,0,1
"587",41,0,1
"588",42,0,1
"589",43,0,1
"590",45,0,1
"591",46,0,1
"592",47,0,1
"593",48,0,1
"594",49,0,1
"595",50,0,1
"596",51,0,0
"597",52,0,0
"598",53,0,0
"599",54,0,0
"600",55,0,0
"601",57,0,0
"602",58,0,0
"603",59,0,0
"604",61,0,0
"605",62,0,0
"606",63,0,0
"607",65,0,0
"608",66,0,0
"609",67,0,0
"610",68,0,0
"611",69,0,0
"612",71,0,0
"613",72,0,0
"614",73,0,0
"615",74,0,0
"616",75,0,0
"617",76,0,0
"618",77,0,0
"619",78,0,0
"620",79,0,0
"621",80,0,0
"622",81,0,0
"623",82,0,0
"624",83,0,0
"625",84,0,0
"626",85,0,0
"627",86,0,0
"628",87,0,0
"629",88,0,0
"630",89,0,0
"631",90,0,0
"632",92,0,0
"633",94,0,0
"634",95,0,0
"635",96,0,0
"636",98,0,0
"637",99,0,0
"638",100,0,0
"639",1,0,1
"640",2,0,1
"641",3,0,1
"642",4,0,1
"643",6,0,1
"644",7,0,1
"645",9,0,1
"646",10,0,1
"647",11,0,1
"648",12,0,1
"649",13,0,1
"650",14,0,1
"651",16,0,1
"652",17,0,1
"653",18,0,1
"654",19,0,1
"655",20,0,1
"656",21,0,1
"657",23,0,1
"658",24,0,1
"659",25,0,1
"660",26,0,1
"661",27,0,1
"662",29,0,1
"663",30,0,1
"664",31,0,1
"665",32,0,1
"666",33,0,1
"667",34,0,1
"668",35,0,1
"669",36,0,1
"670",37,0,1
"671",38,0,1
"672",39,0,1
"673",40,0,1
"674",41,0,1
"675",42,0,1
"676",44,0,1
"677",45,0,1
"678",46,0,1
"679",47,0,1
"680",48,0,1
"681",49,0,1
"682",50,0,1
"683",52,0,0
"684",53,0,0
"685",54,0,0
"686",55,0,0
"687",56,0,0
"688",57,0,0
"689",58,0,0
"690",59,0,0
"691",60,0,0
"692",61,0,0
"693",62,0,0
"694",63,0,0
"695",65,0,0
"696",66,0,0
"697",67,0,0
"698",68,0,0
"699",69,0,0
"700",72,0,0
"701",73,0,0
"702",74,0,0
"703",75,0,0
"704",76,0,0
"705",77,0,0
"706",78,0,0
"707",79,0,0
"708",80,0,0
"709",81,0,0
"710",82,0,0
"711",83,0,0
"712",85,0,0
"713",86,0,0
